(59, 116.75, 1.75, 0.25, [-57, -60, -65, 79, 81, 84])
(59, 117, 2, 0.25, [48, 60, -79, -81, -84])
(59, 117.25, 2.25, 0.25, [-48, -60, 77])
(59, 117.5, 2.5, 0.25, [57, 60, 65, 76])
(59, 117.75, 2.75, 0.25, [-57, -60, -65, 77])
(60, 118, 1, 0.25, [45, 57, 78])
(60, 118.25, 1.25, 0.25, [-45, -57, 81, 84, 87])
(60, 118.5, 1.5, 0.25, [54, 60, 62, 76])
(60, 118.75, 1.75, 0.25, [-54, -60, -62, 77])
(60, 119, 2, 0.25, [50, 62, 78])
(60, 119.25, 2.25, 0.25, [-50, -62, 81, 84, 87])
(60, 119.5, 2.5, 0.25, [48, 60, 76])
(60, 119.75, 2.75, 0.25, [-48, -60, 78, 81, 86])
(61, 120, 1, 0.25, [46, 58, 79, 82, 86])
(61, 120.25, 1.25, 0.25, [-46, -58, 81, 82, 86])
(61, 120.5, 1.5, 0.25, [55, 58, 62, -81, -82, -86])
(61, 120.75, 1.75, 0.25, [-55, -58, -62, 81, 82, 86])
(61, 121, 2, 0.25, [43, 55, -81, -82, -86])
(61, 121.25, 2.25, 0.25, [-43, -55, 79])
(61, 121.5, 2.5, 0.25, [55, 58, 62, 81])
(61, 121.75, 2.75, 0.25, [-55, -58, -62, 82])
(62, 122, 1, 0.25, [44, 56, 83])
(62, 122.25, 1.25, 0.25, [-44, -56, 86, 88])
(62, 122.5, 1.5, 0.25, [59, 62, 64, 80])
(62, 122.75, 1.75, 0.25, [-59, -62, -64, 81])
(62, 123, 2, 0.25, [40, 52, 83])
(62, 123.25, 2.25, 0.25, [-40, -52, 86, 88])
(62, 123.5, 2.5, 0.25, [56, 62, 64, 80])
(62, 123.75, 2.75, 0.25, [-56, -62, -64, 83, 86, 88])
(63, 124, 1, 0.5, [45, 57, 81, 84, 88])
(63, 124.5, 1.5, 0.5, [57, 60, 64, -81, -84, -88])
(63, 125, 2, 0.5, [45, 57, 72, 75, 78, 84])
(63, 125.5, 2.5, 0.25, [42, 54, 74])
(63, 125.75, 2.75, 0.25, [-42, -54, 75])
(64, 126, 1, 0.25, [43, 55, 76])
(64, 126.25, 1.25, 0.25, [-43, -55, 79, 82, 84, 86])
(64, 126.5, 1.5, 0.25, [58, 60, 64, 74])
(64, 126.75, 1.75, 0.25, [-58, -60, -64, 75])
(64, 127, 2, 0.25, [36, 48, 76])
(64, 127.25, 2.25, 0.25, [-36, -48, 79, 82, 84, 86])
